date,amount,category,description
2025-06-01,5000,Sales,Invoice payment received
2025-06-02,-1500,Rent,Monthly office rent
2025-06-03,-2500,Utilities,Electricity bill
2025-06-04,3000,Sales,Service income
2025-06-05,-800,Supplies,Office supplies purchase
2025-06-06,-2000,Marketing,Advertising expenses
2025-06-07,1000,Sales,Product sales
2025-06-08,-1200,Travel,Client meeting expenses
2025-06-09,-500,Insurance,Monthly insurance premium
2025-06-10,2000,Sales,Consulting fees
2025-06-11,-600,Maintenance,Office equipment maintenance
2025-06-12,-700,Legal,Legal fees        
